company;date;date_month;date_year;code2;setor;subsetor;name;ativo_total;ativo_circulante;passivo_total;passivo_circulante;code;freq;shares;net_revenue;net_profit;growth_profit;net_equity;net_revenue_12;net_profit_12m;ativo;cl;ebit;roe;net_margin;eps;bvps;d_e;divida_bruta;disponibilidades;divida_liquida;Estoque;carteira de credito;depositos;receita de servi
ABEV3;31/03/2019;3;2019;ABEV;non-cyclical consumption;Drinks;AMBEV S/A;96905535.49;26194137.09;96905535.49;23252885.5;ABEV3;25;15722718;12640125.95;2661850;-0.2079;59108516.35;51231244;11170566;96905535.49;1.1265;3842900.16;0.189;0.052;0.7105;3.7594;0.086;5085238.016;12836296.93;-7751058.912;6032743.936;;;
ABEV3;30/06/2019;6;2019;ABEV;non-cyclical consumption;Drinks;AMBEV S/A;98738978.82;27356035.07;98738978.82;22640990.21;ABEV3;26;15722718;12145132.54;2520733;-0.053;61625191.17;51866832;11374147;98738978.82;1.2083;3391314.112;0.1846;0.0486;0.7234;3.9195;0.0795;4898312.96;14247441.39;-9349128.432;6197564.928;;;
ABEV3;30/09/2019;9;2019;ABEV;non-cyclical consumption;Drinks;AMBEV S/A;102475317.2;29004025.86;102475317.2;21842335.74;ABEV3;27;15722718;11957652.48;2497677;-0.0091;65751758.21;52760741;11040665;102475317.2;1.3279;3017294.272;0.1679;0.0473;0.7022;4.182;0.0622;4090158.08;15031217.92;-10941059.84;5978811.904;;;
ABEV3;31/12/2019;12;2019;ABEV;non-cyclical consumption;Drinks;AMBEV S/A;101742944.3;27621136.38;101742944.3;25011032.06;ABEV3;28;15722718;15856798.72;4099705;0.6414;61278024.32;52599710;11779965;101742944.3;1.1044;5342538.176;0.1922;0.0779;0.7492;3.8974;0.05;3062804.032;11915223.86;-8852419.824;5978556.928;;;
ABEV3;31/03/2020;3;2020;ABEV;non-cyclical consumption;Drinks;AMBEV S/A;113687560.2;31086356.48;113687560.2;25218123.78;ABEV3;29;15722718;12602597.38;1091784;-0.7337;70359908.35;52562181;10209899;113687560.2;1.2327;2887210.048;0.1451;0.0208;0.6494;4.475;0.0494;3473450.112;13249294.81;-9775844.696;7752655.872;;;
ABEV3;30/06/2020;6;2020;ABEV;non-cyclical consumption;Drinks;AMBEV S/A;121393004.5;36268126.21;121393004.5;29238994.94;ABEV3;30;15722718;11615330.3;1226799;0.1237;73922754.18;52032379;8915965;121393004.5;1.2404;1981156.736;0.1206;0.0236;0.5671;4.7017;0.0918;6782829.056;17483774.42;-10700945.37;7771618.816;;;
ABEV3;30/09/2020;9;2020;ABEV;non-cyclical consumption;Drinks;AMBEV S/A;127056781.3;39098793.98;127056781.3;30275315.71;ABEV3;31;15722718;15604498.43;2274801;0.8543;78006280.06;55679225;8693089;127056781.3;1.2914;3578593.856;0.1114;0.0409;0.5529;4.9614;0.0879;6855006.976;23103373.82;-16248366.85;7341836.8;;;
ABEV3;31/12/2020;12;2020;ABEV;non-cyclical consumption;Drinks;AMBEV S/A;125196574.7;35342614.53;125196574.7;33477963.78;ABEV3;32;15722718;18556571.65;6786010;1.9831;73815626.5;58378998;11379393;125196574.7;1.0557;5297868.288;0.1542;0.1162;0.7238;4.6948;0.0649;4792227.968;18790363.78;-13998135.81;7605904.896;;;
ABEV3;31/03/2021;3;2021;ABEV;non-cyclical consumption;Drinks;AMBEV S/A;133417828.4;37059858.43;133417828.4;31880720.38;ABEV3;33;15722718;16639761.41;2625412;-0.6131;82044119.3;62416162;12913022;133417828.4;1.1625;3885738.752;0.1574;0.0421;0.8213;5.2182;0.0613;5027160.832;19335696.26;-14308535.42;9698229.248;;;
ABEV3;30/06/2021;6;2021;ABEV;non-cyclical consumption;Drinks;AMBEV S/A;124440133.6;32705665.02;124440133.6;28791525.38;ABEV3;34;15722718;15711140.86;2885782;0.0992;78889793.15;66511972;14572005;124440133.6;1.1359;2594107.776;0.1847;0.0434;0.9268;5.0176;0.0379;2990595.072;14514953.34;-11524358.27;9583373.312;;;
ABEV3;30/09/2021;9;2021;ABEV;non-cyclical consumption;Drinks;AMBEV S/A;135133249.5;38197080.06;135133249.5;31107336.19;ABEV3;35;15722718;18492608.51;3552532;0.231;86771214.59;69400082;15849736;135133249.5;1.2279;3847756.672;0.1827;0.0512;1.0081;5.5188;0.0349;3027712.96;20000745.73;-16973032.77;9511235.584;;;
ASAI3;31/03/2020;3;2020;ASAI;non-cyclical consumption;Commerce and Distribution;ASSAI;36658999.3;12017000.45;36658999.3;13335000.06;ASAI3;1;1346500;12933000.19;100000;0;7791999.744;12933000;100000;36658999.3;0.9012;799000;0.0128;0.0077;0.0743;5.7869;1.3061;10176999.94;3776999.936;6400000;5826000.128;;;
ASAI3;30/06/2020;6;2020;ASAI;non-cyclical consumption;Commerce and Distribution;ASSAI;39805001.73;12606000.13;39805001.73;13489000.45;ASAI3;2;1346500;13477999.62;175000;0.75;9088000.256;26411000;275000;39805001.73;0.9345;988000;0.0303;0.0066;0.2042;6.7494;1.1297;10266999.81;4617999.872;5648999.936;5686999.808;;;
ASAI3;30/09/2020;9;2020;ASAI;non-cyclical consumption;Commerce and Distribution;ASSAI;39972999.17;12417999.87;39972999.17;15173999.62;ASAI3;3;1346500;14572000.26;437000;1.4971;9548000.256;40983000;712000;39972999.17;0.8184;1046999.936;0.0746;0.0107;0.5288;7.091;1.0369;9900000.256;3897999.872;6002000.384;6436000.064;;;
ASAI3;31/12/2020;12;2020;ASAI;non-cyclical consumption;Commerce and Distribution;ASSAI;18820999.17;8349000.192;18820999.17;8723000.32;ASAI3;4;1346500;-4939998.208;686000;0.5698;1410000;36043002;1398000;18820999.17;0.9571;-166000.128;0.9915;0.019;1.0382;1.0472;5.5539;7831000.064;3532000;4299000.064;3739000.064;;;
ASAI3;31/03/2021;3;2021;ASAI;non-cyclical consumption;Commerce and Distribution;ASSAI;17615998.98;7085000.192;17615998.98;7248000;ASAI3;5;1346500;9447999.488;240000;-0.6501;1590000;32558001;1538000;17615998.98;0.9775;614000.064;0.9673;0.0074;1.1422;1.1808;4.7623;7572000.256;2764000;4808000.256;3436000;;;
ASAI3;30/06/2021;6;2021;ASAI;non-cyclical consumption;Commerce and Distribution;ASSAI;20480999.42;9370999.808;20480999.42;8006000.128;ASAI3;6;1346500;10049000.45;305000;0.2708;1916999.936;29129002;1668000;20480999.42;1.1705;766000;0.8701;0.0105;1.2388;1.4237;4.9739;9535000.064;4511000.064;5024000;3688000;;;
ASAI3;30/09/2021;9;2021;ASAI;non-cyclical consumption;Commerce and Distribution;ASSAI;20768999.42;8881000.448;20768999.42;9166999.552;ASAI3;7;1346500;10844999.68;538000;0.7639;2401999.872;25402001;1769000;20768999.42;0.9688;949000.064;0.7365;0.0212;1.3138;1.7839;3.3984;8163000.064;2880999.936;5282000.128;4460000.256;;;
AZUL4;31/03/2017;3;2017;AZUL;Industrial goods;Transport;AZUL;8069520.896;1695544.96;8069520.896;3584167.936;AZUL4;1;1246536;1873793.024;55297;0;1059102.016;1873793;55297;8069520.896;0.4731;205212;0.0522;0.0295;0.0444;0.8496;3.5085;3715884.096;719654.976;2996229.12;114835;;;
AZUL4;30/06/2017;6;2017;AZUL;Industrial goods;Transport;AZUL;9184295.936;2639741.952;9184295.936;3625779.968;AZUL4;2;1246536;1723256.064;-33947;-1.6139;2288174.08;3597049;21350;9184295.936;0.728;104928;0.0093;-0.0094;0.0171;1.8356;1.5916;3641851.904;1474156.992;2167694.912;129615;;;
AZUL4;30/09/2017;9;2017;AZUL;Industrial goods;Transport;AZUL;9009838.08;2663008;9009838.08;3806827.008;AZUL4;3;1246536;1998189.056;204032;7.0103;2517565.952;5595238;225382;9009838.08;0.6995;249283.976;0.0895;0.0365;0.1808;2.0196;1.1539;2904963.968;1457518.976;1447444.992;134432.992;;;
AZUL4;31/12/2017;12;2017;AZUL;Industrial goods;Transport;AZUL;10316615.68;3304340.992;10316615.68;3334356.992;AZUL4;4;1250192;2194258.688;303657;0.4883;2833609.984;7789497;529039;10316615.68;0.991;305597.016;0.1867;0.039;0.4232;2.2665;1.2316;3489886.976;1807275.008;1682611.968;150392.992;;;
